nome_processo,"Ecotoxicity, freshwater impact","Human toxicity, cancer impact",Climate change impact,"Human toxicity, non-cancer impact","Resource use, fossils impact","Resource use, minerals and metals impact",Water use impact,Land use impact,"Eutrophication, freshwater impact",EF-particulate Matter impact,Photochemical ozone formation - human health impact,Acidification impact,"Eutrophication, terrestrial impact",Eutrophication marine impact,Ozone depletion impact,"Ionising radiation, human health impact",categoria
"spinning, alpaca",1.1442616144070281e-09,8.932922798677074e-10,2.212816158511703e-09,3.2771253058153677e-10,4.031608987533156e-09,2.109035738198559e-10,5.841490218463213e-09,3.031783146823875e-11,1.1073764761364724e-11,6.690507182873876e-09,2.774681832740884e-09,6.038201527093026e-09,1.7042762405573874e-09,2.285306237426815e-10,3.1504327027293783e-10,6.248324243315317e-09,Tessile & fibre
"Boric acid, powder production",6.59607100306283e-10,2.330952551982206e-10,5.001681416066563e-10,1.8580914658389158e-10,1.2766143612488398e-09,7.814198359555108e-09,1.2886757721818373e-09,4.294276563782952e-11,6.312103858186817e-10,1.611990571706153e-09,1.7480644552052474e-09,3.6772987984764244e-09,1.0987265777297934e-09,1.4325202334729913e-10,8.781778908801386e-10,2.0419463929292883e-09,Chimica & additivi
Styrene butadiene dispersion,9.781052875079844e-10,5.370259327013681e-09,1.9862250937628454e-09,1.774258753937452e-10,8.93907555936929e-09,1.1138734000772072e-09,1.5185533947847662e-09,4.229508687131211e-11,2.2035778096397877e-10,1.232150271887776e-09,9.153303701699684e-09,3.4936491133421875e-09,1.3017640894034902e-09,1.8418528452615075e-10,3.62039674714431e-08,2.360656776448419e-09,Chimica & additivi
"Propylene oxide production, black box",1.9273506693592988e-08,1.7590659279022607e-09,1.5264937103271344e-09,5.264737124911536e-10,5.612328122844646e-09,2.9104734948274288e-09,3.145375300310586e-09,3.726252914493935e-11,6.058543284994205e-10,1.798701270749184e-09,3.6106714692107572e-09,3.6408953044696893e-09,1.1039881228389043e-09,1.476349389655637e-10,4.90098906556101e-07,2.6993477314846724e-09,"Carta, legno & imballaggi"
"foaming, discontinuous block",8.190916125891388e-11,1.070935319063975e-10,3.009977775188789e-10,7.172014003729016e-11,4.3419072638156326e-10,6.03193559733436e-12,4.283766645827163e-11,1.0465646766547633e-11,2.8666372205461312e-12,1.7105020555380109e-09,3.852645191234996e-10,7.091388785468942e-10,2.4317550858334503e-10,3.296976686445326e-11,1.1854376254570145e-12,4.18491918486193e-11,Metalli & minerali
"treatment, water repellent, pfc free",2.2439518594236678e-10,1.2047252741174054e-10,2.074530995401448e-10,4.512674052534813e-11,5.571055281945595e-10,4.588707619557471e-10,1.0265990940706714e-09,7.330823087648927e-12,5.6013405232370036e-11,3.7038365585191695e-10,3.961443046668039e-10,6.26026750261022e-10,2.476975111510805e-10,3.446818542292847e-11,8.508741153656213e-10,7.669316461440336e-10,Altro
"potassium hydroxide production, black box",1.2667494339863698e-09,2.0230290004926091e-10,1.607819760696463e-10,1.5462137181228666e-10,3.666426526726681e-10,1.7585560530437965e-09,3.645297290215455e-10,1.4714112543148296e-11,3.493944699726125e-10,1.7675828656577936e-10,2.519506590895254e-10,4.2828987427637045e-10,1.6524254133264712e-10,2.1119151172419205e-11,9.132686483253217e-10,2.1164731716761937e-10,"Carta, legno & imballaggi"
"pre-dye preparation (scouring, etc), woven textile, natural fibers",3.1579926368194264e-09,9.673771430868241e-10,1.0206652890512227e-09,3.927021637988805e-10,1.925201081696331e-09,1.4864424293848076e-07,2.9714442318714166e-09,2.9841908335408245e-11,2.5512624138972986e-09,2.3026675204573196e-09,1.8408317627975876e-09,2.7048570733217788e-09,1.2230805873603312e-09,1.7285794232882657e-10,2.5283463580040045e-07,2.5993681008503587e-09,Tessile & fibre
Recycling of steel into steel billet,1.601931740127595e-10,7.262801016801892e-11,3.41686598915993e-10,3.264920351319861e-11,8.252643437369445e-10,4.177579248990116e-11,1.0048107468436897e-09,2.185485251108179e-11,2.9354743149875796e-12,1.999969689816574e-10,3.8306432704454915e-10,5.453428131586018e-10,2.2069990029064683e-10,2.999341940901652e-11,1.145099873886146e-10,4.104373054105117e-09,Metalli & minerali
"Sodium percarbonate, powder production",1.5889093383659918e-09,3.2531855495314885e-10,6.630891242283612e-10,1.708044291836774e-10,1.3269671540004518e-09,2.070671315993574e-09,2.0194444163479724e-09,3.624222908504405e-11,4.4987408297684544e-10,8.786304533865666e-10,8.17817289411457e-10,1.731567793980108e-09,8.114658467420792e-10,6.976312674472917e-11,6.209986306413756e-09,2.5047813623800997e-09,Trasporti & veicoli
"spinning, wool, for knit (120 dtex-83 nm)",1.1331259192356289e-09,8.909759742141108e-10,2.1937105424406735e-09,3.24699288174696e-10,3.995389771254043e-09,2.0999418209872335e-10,5.740662516935772e-09,2.986803092794122e-11,1.100341048081801e-11,6.638791050738518e-09,2.758881958213035e-09,5.979026095260391e-09,1.6960356218054704e-09,2.2740930734132394e-10,3.1129484893295377e-10,6.140090369831579e-09,Zootecnia & prodotti animali
